"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This is a SOAP API that uses POST http method","522","multiplySOAPapi","Suite","Fri Mar 21 20:45:36 IST 2025","passed","Fri Mar 21 20:45:37 IST 2025","com.project1.restapi.TC48_SOAP_APIs","Test","com.project1.restapi.TC48_SOAP_APIs","multiplySOAPapi"
"This is a SOAP API that uses POST http method","560","divideSOAPapi","Suite","Fri Mar 21 20:45:37 IST 2025","passed","Fri Mar 21 20:45:37 IST 2025","com.project1.restapi.TC48_SOAP_APIs","Test","com.project1.restapi.TC48_SOAP_APIs","divideSOAPapi"
"This is a SOAP API that uses POST http method","1486","addSOAPapi","Suite","Fri Mar 21 20:45:34 IST 2025","passed","Fri Mar 21 20:45:36 IST 2025","com.project1.restapi.TC48_SOAP_APIs","Test","com.project1.restapi.TC48_SOAP_APIs","addSOAPapi"
"This is a SOAP API that uses POST http method","536","subtractSOAPapi","Suite","Fri Mar 21 20:45:36 IST 2025","passed","Fri Mar 21 20:45:36 IST 2025","com.project1.restapi.TC48_SOAP_APIs","Test","com.project1.restapi.TC48_SOAP_APIs","subtractSOAPapi"
"","1618","verifyIfUserIsCreated","Suite","Thu Mar 20 20:46:52 IST 2025","passed","Thu Mar 20 20:46:53 IST 2025","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","Test","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","verifyIfUserIsCreated"
"","1042","verifyIfUserIsUpdated","Suite","Thu Mar 20 20:46:55 IST 2025","passed","Thu Mar 20 20:46:56 IST 2025","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","Test","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","verifyIfUserIsUpdated"
"","2663","createUserAPI","Suite","Thu Mar 20 20:46:49 IST 2025","passed","Thu Mar 20 20:46:52 IST 2025","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","Test","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","createUserAPI"
"","1091","verifyIfUserIsDeleted","Suite","Thu Mar 20 20:46:58 IST 2025","passed","Thu Mar 20 20:46:59 IST 2025","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","Test","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","verifyIfUserIsDeleted"
"","2037","updateUserAPI","Suite","Thu Mar 20 20:46:53 IST 2025","passed","Thu Mar 20 20:46:55 IST 2025","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","Test","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","updateUserAPI"
"","1454","deleteUserAPI","Suite","Thu Mar 20 20:46:56 IST 2025","passed","Thu Mar 20 20:46:58 IST 2025","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","Test","com.project1.restapi.TC47_ALLURE_HTML_TEST_REPORTS_E2E_API_AUTOMATION","deleteUserAPI"
